timestamp,time,currentKwh,baselineKwh,solarGenKwh,outdoorTempC,hvacKwh,baseloadKwh,lightingKwh,plugLoadKwh
2026-09-07T00:00:00Z,00:00,8.4,5.5,0.0,12.5,3.9,3.1,0.7,0.7
2026-09-07T00:30:00Z,00:30,8.3,5.4,0.0,12.3,3.8,3.1,0.7,0.7
2026-09-07T01:00:00Z,01:00,8.5,5.3,0.0,12.1,4.0,3.1,0.7,0.7
2026-09-07T01:30:00Z,01:30,8.2,5.4,0.0,11.9,3.7,3.1,0.7,0.7
2026-09-07T02:00:00Z,02:00,8.4,5.2,0.0,11.8,3.9,3.1,0.7,0.7
2026-09-07T02:30:00Z,02:30,8.3,5.3,0.0,11.6,3.8,3.1,0.7,0.7
2026-09-07T03:00:00Z,03:00,8.2,5.1,0.0,11.4,3.7,3.1,0.7,0.7
2026-09-07T03:30:00Z,03:30,8.4,5.2,0.0,11.2,3.9,3.1,0.7,0.7
2026-09-07T04:00:00Z,04:00,8.6,5.3,0.0,11.1,4.1,3.1,0.7,0.7
2026-09-07T04:30:00Z,04:30,8.8,5.4,0.0,11.0,4.3,3.1,0.7,0.7
2026-09-07T05:00:00Z,05:00,10.2,6.5,0.0,11.2,5.5,3.1,1.0,0.6
2026-09-07T05:30:00Z,05:30,13.0,8.8,0.0,11.5,7.6,3.2,1.3,0.9
2026-09-07T06:00:00Z,06:00,17.2,13.5,0.0,12.0,10.4,3.3,2.2,1.3
2026-09-07T06:30:00Z,06:30,22.1,18.8,0.3,12.8,13.5,3.4,3.1,1.8
2026-09-07T07:00:00Z,07:00,28.2,25.0,2.1,14.0,16.8,3.5,4.7,3.2
2026-09-07T07:30:00Z,07:30,34.5,30.8,4.6,15.3,20.0,3.5,5.4,4.0
2026-09-07T08:00:00Z,08:00,40.8,36.9,8.4,16.8,23.4,3.6,6.2,5.6
2026-09-07T08:30:00Z,08:30,45.2,39.8,12.2,18.2,25.4,3.7,6.6,6.4
2026-09-07T09:00:00Z,09:00,48.6,42.1,16.0,19.6,27.2,3.7,6.8,7.0
2026-09-07T09:30:00Z,09:30,51.0,43.8,18.9,21.0,28.8,3.7,6.9,7.3
2026-09-07T10:00:00Z,10:00,53.2,44.9,21.4,22.2,30.1,3.8,7.0,7.5
2026-09-07T10:30:00Z,10:30,54.8,45.6,22.8,23.5,31.0,3.8,7.0,7.6
2026-09-07T11:00:00Z,11:00,56.0,46.2,23.5,24.3,31.8,3.8,7.0,7.8
2026-09-07T11:30:00Z,11:30,57.1,46.8,24.0,25.0,32.5,3.8,7.1,8.0
2026-09-07T12:00:00Z,12:00,57.5,47.0,24.2,25.6,32.8,3.8,7.1,8.1
2026-09-07T12:30:00Z,12:30,57.2,46.7,23.8,26.0,32.6,3.8,7.1,8.0
2026-09-07T13:00:00Z,13:00,56.8,46.2,22.7,26.2,32.3,3.8,7.0,7.9
2026-09-07T13:30:00Z,13:30,55.4,45.3,21.0,26.0,31.4,3.8,7.0,7.7
2026-09-07T14:00:00Z,14:00,54.0,44.5,19.2,25.7,30.6,3.8,6.9,7.5
2026-09-07T14:30:00Z,14:30,52.5,43.2,16.8,25.1,29.8,3.7,6.9,7.3
2026-09-07T15:00:00Z,15:00,50.8,41.9,14.0,24.3,28.8,3.7,6.8,7.0
2026-09-07T15:30:00Z,15:30,48.2,39.6,10.8,23.5,27.2,3.7,6.7,6.6
2026-09-07T16:00:00Z,16:00,45.5,37.0,7.5,22.6,25.7,3.6,6.5,6.1
2026-09-07T16:30:00Z,16:30,41.2,32.5,4.1,21.7,23.3,3.6,6.1,5.3
2026-09-07T17:00:00Z,17:00,36.5,26.8,1.4,20.5,20.6,3.5,5.5,4.4
2026-09-07T17:30:00Z,17:30,32.0,21.4,0.2,19.4,17.8,3.5,4.9,3.7
2026-09-07T18:00:00Z,18:00,28.5,16.0,0.0,18.2,15.5,3.4,4.3,3.1
2026-09-07T18:30:00Z,18:30,25.8,11.8,0.0,17.3,14.3,3.3,3.7,2.5
2026-09-07T19:00:00Z,19:00,22.5,9.5,0.0,16.5,12.5,3.3,3.0,2.1
2026-09-07T19:30:00Z,19:30,19.0,8.2,0.0,15.8,10.3,3.2,2.4,1.7
2026-09-07T20:00:00Z,20:00,15.8,7.4,0.0,15.2,8.3,3.2,1.9,1.4
2026-09-07T20:30:00Z,20:30,13.5,6.7,0.0,14.7,6.8,3.2,1.5,1.1
2026-09-07T21:00:00Z,21:00,11.5,6.2,0.0,14.2,5.5,3.2,1.1,0.9
2026-09-07T21:30:00Z,21:30,10.1,5.8,0.0,13.8,4.6,3.2,0.9,0.7
2026-09-07T22:00:00Z,22:00,9.4,5.6,0.0,13.4,4.2,3.2,0.8,0.7
2026-09-07T22:30:00Z,22:30,9.0,5.5,0.0,13.0,4.0,3.1,0.7,0.7
2026-09-07T23:00:00Z,23:00,8.7,5.4,0.0,12.7,3.9,3.1,0.7,0.7
2026-09-07T23:30:00Z,23:30,8.6,5.3,0.0,12.5,3.8,3.1,0.7,0.7
